cut,carat
Premium,1.19
Ideal,1.34
Very Good,1.32
Good,1.02
Fair,1.01
Ideal,1.07
Very Good,1.01
Ideal,1.16
Ideal,1.25
Premium,1.25
Very Good,1.32
Very Good,1.2
Premium,1.26
Very Good,1.19
Premium,1.52
Fair,1.43
Ideal,1.12
Premium,1.02
Very Good,0.94
Very Good,1.35
Ideal,1.23
Good,1.11
Good,1.51
Ideal,1.52
Good,1.01
Premium,1.31
Ideal,1.11
Good,2.06
Ideal,1.37
Premium,1.03
Premium,1.21
Premium,1.35
Premium,1.28
Premium,1.28
Very Good,0.99
Very Good,1.04
Ideal,1.14
Premium,1.14
Ideal,1.54
Ideal,1.24
Premium,1.31
Premium,1.05
Ideal,1.44
Very Good,1.08
Ideal,1.01
Premium,1
Ideal,1.29
Ideal,1.29
Premium,1.01
Very Good,1.01
Premium,1.01
Premium,1.01
Premium,1.01
Premium,1.01
Premium,1.01
Good,1.01
Premium,1.01
Premium,1.21
Very Good,1
Good,1
Very Good,1
Very Good,1.2
Very Good,1.12
Ideal,1.21
Premium,1.21
Premium,1.1
Very Good,1.29
Ideal,1.23
Very Good,1.31
Very Good,1.07
Very Good,1.02
Very Good,1.02
Good,1.51
Ideal,1.01
Very Good,1.01
Ideal,1.21
Ideal,1.15
Premium,1.01
Premium,1.01
Very Good,1.01
Premium,1.01
Ideal,1.01
Premium,1.01
Very Good,1.01
Premium,1.01
Ideal,1.01
Ideal,1.01
Ideal,1.01
Premium,1.01
Premium,1.01
Fair,1.47
Premium,1.01
Premium,1.01
Premium,1.01
Good,1.01
Ideal,1.12
Very Good,1.15
Ideal,1.24
Premium,1.07
Good,1.62
Ideal,1.04
Ideal,1.18
Very Good,1.25
Good,1.01
Ideal,1.06
Very Good,1
Very Good,1.5
Premium,1
Premium,1
Fair,1
Fair,1
Premium,1.12
Premium,1.04
Premium,1
Premium,1.27
Premium,1.29
Ideal,1.33
Very Good,1.07
Premium,1.22
Premium,1.22
Premium,1.1
Premium,1.22
Premium,1.04
Premium,1.04
Ideal,1.03
Premium,1.07
Good,0.9
Ideal,1.35
Premium,1.24
Very Good,1.21
Premium,1.24
Very Good,1.02
Very Good,1.29
Good,1.01
Premium,1.53
Very Good,1.19
Very Good,1.01
Ideal,1.06
Ideal,1.11
Fair,1.52
Premium,1.2
Premium,1.2
Premium,1.2
Premium,1.2
Premium,1.2
Very Good,1.2
Very Good,1.05
Very Good,1.01
Very Good,1.12
Premium,1.5
Ideal,1.01
Ideal,1.01
Ideal,1.22
Ideal,1.01
Premium,1
Premium,1.5
Premium,1.16
Ideal,1.04
Ideal,1
Ideal,1.13
Ideal,1.09
Ideal,1.09
Very Good,1.24
Ideal,1.21
Ideal,1.21
Ideal,1.66
Premium,1.31
Very Good,1.04
Very Good,1.51
Ideal,1.17
Ideal,1.4
Very Good,1.3
Ideal,1.2
Premium,1.29
Premium,1.29
Premium,1.29
Premium,1.29
Good,1.29
Very Good,1.04
Ideal,1.12
Premium,1.14
Very Good,1.4
Premium,1.24
Ideal,1.03
Premium,1.05
Ideal,1.1
Premium,1.03
Premium,1.03
Premium,1.4
Fair,1.96
Good,1.32
Very Good,1.37
Very Good,1.3
Very Good,1.3
Premium,1.22
Premium,2.08
Premium,1.23
Good,1.04
Very Good,1.01
Very Good,1.01
Ideal,1.23
Good,1.33
Premium,1.22
Very Good,1.03
Premium,1.09
Premium,1
Premium,1.22
Fair,1.51
Very Good,1.19
Ideal,1.02
Premium,1.36
Ideal,1.02
Ideal,1.01
Very Good,1.01
Very Good,1.01
Very Good,1.01
Very Good,1.01
Good,1.01
Very Good,1.01
Very Good,1.01
Premium,1.01
Good,1.01
Premium,1.18
Premium,1
Ideal,1.2
Good,1
Very Good,1.27
Good,1
Premium,1.01
Premium,1.17
Very Good,1.03
Premium,1.28
Premium,1.28
Premium,1.01
Ideal,1.05
Good,1.23
Ideal,0.3
Premium,0.3
Very Good,0.3
Ideal,0.3
Good,0.3
Very Good,0.3
Very Good,0.3
Ideal,0.3
Very Good,0.3
Premium,0.3
Premium,0.3
Ideal,0.3
Very Good,0.27
Very Good,0.4
Very Good,0.36
Ideal,0.4
Premium,0.35
Ideal,0.35
Good,0.35
Very Good,0.38
Ideal,0.3
Ideal,0.3
Good,0.41
Ideal,0.37
Very Good,0.32
Very Good,0.29
Very Good,0.29
Very Good,0.29
Very Good,0.29
Ideal,0.29
Very Good,1.29
Very Good,1.04
Very Good,1.04
Ideal,1.1
Very Good,1.2
Very Good,1.08
Ideal,1.12
Very Good,1.02
Ideal,1.2
Very Good,1.06
Premium,1.02
Very Good,1.02
Ideal,1.02
Premium,1.02
Premium,1.02
Premium,1.02
Premium,1.02
Ideal,1.02
Premium,1.32
Premium,1.32
Very Good,1.51
Premium,1.23
Premium,1.51
Ideal,1.04
Good,1.05
Premium,1.05
Good,1.28
Ideal,1.49
Premium,1.38
Good,1.01
Fair,1.01
Premium,1.01
Ideal,1.01
Good,1.01
Premium,1.01
Ideal,1.04
Ideal,1.04
Very Good,1.04
Premium,1.04
Very Good,1.2
Very Good,1.04
Good,1
Good,1.11
Ideal,1.03
Ideal,1.21
Premium,1.21
Premium,1.05
Premium,1.37
Premium,1.05
Premium,1.2
Good,1.2
Good,1
Very Good,1
Good,1
Very Good,1
Premium,1.53
Ideal,1.23
Premium,1.03
Ideal,1.03
Premium,1.22
Ideal,1.54
Ideal,1.26
Good,1
Premium,1.3
Very Good,1.21
Very Good,1.21
Good,1
Good,1
Very Good,1
Very Good,1.21
Ideal,1.33
Ideal,1.21
Ideal,1.18
Ideal,1.02
Very Good,1.2
Good,1
Very Good,1.14
Very Good,1.21
Good,1
Premium,1.54
Premium,1.58
Very Good,1.02
Very Good,1.01
Very Good,1
Ideal,1.05
Premium,1.19
Very Good,1.2
Premium,1.23
Ideal,1.23
Ideal,1.35
Ideal,1.23
Ideal,1.07
Ideal,1.22
Premium,1.54
Premium,1.16
Very Good,1.33
Ideal,1.08
Very Good,1.01
Very Good,1.01
Very Good,1.02
Premium,1.04
Premium,1.23
Very Good,1
Very Good,1
Very Good,0.9
Premium,1
Ideal,1.12
Ideal,1
Premium,1
Premium,1.1
Good,1
Premium,1
Good,1.2
Fair,1.5
Ideal,1.2
Premium,1.28
Fair,1
Very Good,1.06
Good,1.06
Very Good,1.01
Premium,1.07
Premium,1.03
Premium,1.52
Premium,1.24
Premium,1.02
Good,1.51
Premium,1.48
Premium,1
Premium,1.22
Very Good,1.06
Very Good,1.03
Premium,1.02
Premium,1.01
Very Good,1.01
Very Good,1.01
Good,1.01
Good,1.01
Good,1.01
Fair,1.32
Ideal,1.12
Good,1
Good,1.62
Premium,1.21
Premium,1.47
Very Good,1.05
Premium,1.5
Good,1.5
Ideal,1.09
Ideal,1.09
Ideal,1.31
Very Good,1.21
Premium,1.03
Ideal,1.03
Premium,1.25
Ideal,0.9
Ideal,1.24
Premium,1.07
Very Good,1.04
Very Good,1.23
Ideal,1
Premium,1.31
Premium,1.31
Premium,1.28
Very Good,1.34
Very Good,1.34
Premium,1.22
Ideal,0.9
Good,1.53
Premium,1.02
Premium,1.02
Very Good,1.01
Very Good,1.01
Premium,1.01
Ideal,1.01
Ideal,1.26
Ideal,1.06
Ideal,1.03
Ideal,1.11
Premium,1.01
Premium,1.01
Very Good,1
Good,1.56
Good,1.56
Premium,1.3
Good,1.01
Good,1
Very Good,1.21
Very Good,1
Ideal,1.06
Ideal,1.03
Good,1.01
Good,1.22
Premium,1.2
Premium,1.2
Premium,1.2
Good,1
Premium,1.5
Fair,1.5
Ideal,1.39
Premium,1.35
Ideal,1.24
Ideal,1.04
Ideal,1.05
Ideal,1.53
Premium,1.14
Premium,1.14
Premium,1.33
Premium,1.24
Very Good,1.01
Very Good,1.01
Very Good,1.01
Ideal,1.01
Ideal,1.09
Ideal,1.04
Ideal,1.38
Premium,1.37
Premium,1.3
Premium,1.21
Premium,1.21
Good,1.54
Ideal,1.21
Ideal,1
Very Good,1.07
Very Good,1.12
Very Good,1
Very Good,1.31
Ideal,1.02
Very Good,1.01
Good,1.51
Premium,1.51
Good,1
Very Good,1.01
Very Good,1.01
Fair,1
Very Good,1.01
Very Good,1.01
Fair,1.01
Premium,1.01
Premium,1.01
Premium,1.01
Premium,1.01
Good,1.01
Very Good,1.01
Premium,1.01
Fair,1.01
Premium,1.01
Premium,1.01
Ideal,1.01
Premium,1.01
Premium,1
Ideal,1.18
Premium,1
Fair,1.6
Good,1
Ideal,1
Premium,1
Good,1
Premium,1
Very Good,1.07
Premium,1.07
Ideal,1.19
Good,1
Ideal,1.26
Premium,1.54
Very Good,1.22
Premium,1.04
Premium,1.04
Very Good,1.36
Ideal,1.05
Ideal,1.21
Good,1
Premium,1.29
Ideal,1.35
Premium,1.2
Very Good,1
Premium,1.32
Good,1.01
Premium,1.1
Very Good,1
Fair,1
Very Good,1.18
Ideal,1.04
Ideal,1.04
Very Good,1.01
Very Good,1.01
Very Good,1.01
Ideal,1.23
Ideal,1.32
Ideal,1.09
Good,1.01
Good,1.01
Premium,1.22
Very Good,0.9
Very Good,1.01
Fair,2.49
Ideal,1.23
Ideal,1.23
Very Good,1.3
Ideal,1.04
Premium,1.04
Ideal,0.29
Ideal,0.29
Ideal,0.29
Ideal,0.36
Ideal,0.29
Ideal,0.29
Ideal,0.29
Ideal,0.35
Ideal,0.29
Ideal,0.29
Ideal,0.29
Ideal,0.34
Good,0.31
Very Good,0.24
Very Good,0.24
Very Good,0.24
Very Good,0.24
Very Good,0.24
Very Good,0.24
Very Good,0.24
Very Good,0.24
Very Good,0.24
Very Good,0.37
Ideal,0.37
Premium,0.36
Premium,0.36
Premium,0.36
Premium,0.36
Premium,0.3
Ideal,0.3
Ideal,1.04
Ideal,1.04
Premium,1
Ideal,1.04
Premium,1.04
Ideal,1
Premium,1
Very Good,1.01
Premium,1.23
Fair,1.51
Ideal,0.95
Fair,1.51
Ideal,1.11
Ideal,1.21
Very Good,1.03
Very Good,1.32
Ideal,1.01
Ideal,1.01
Ideal,1.01
Ideal,1.01
Very Good,1
Premium,1.06
Very Good,1
Premium,1
Premium,1
Very Good,1
Good,1.21
Ideal,1.03
Ideal,1.54
Premium,1.25
Premium,1.25
Very Good,1.32
Very Good,1.5
Ideal,1.29
Ideal,1.15
Ideal,1.15
Premium,1.5
Good,1.5
Ideal,1.25
Premium,1.02
Very Good,1.02
Very Good,1.16
Ideal,1.21
Very Good,1.3
Ideal,0.9
Ideal,1.2
Premium,1
Ideal,1.34
Ideal,1.18
Ideal,1.02
Good,1.5
Premium,1.56
Very Good,1.3
Premium,1.03
Ideal,1.28
Ideal,1.12
Very Good,1.01
Very Good,1.11
Premium,1.83
Ideal,1.15
Very Good,1
Fair,2.01
Good,1
Very Good,1.45
Ideal,1.05
Premium,1.33
Ideal,1.12
Ideal,1.02
Very Good,1.26
Very Good,1
Very Good,1.08
Premium,1.24
Very Good,1.26
Premium,1.69
Ideal,1.71
Premium,1.14
Premium,1.29
Ideal,1.29
Ideal,1.17
Ideal,1.12
Premium,1.31
Very Good,1.22
Very Good,1.22
Very Good,1.21
Ideal,1.17
Ideal,1.07
Ideal,1
Ideal,1.2
Premium,1.06
Very Good,1.06
Very Good,1.01
Good,1.3
Premium,1.24
Ideal,1.29
Premium,1.03
Fair,2.14
Ideal,1.18
Good,1
Premium,1
Ideal,1
Premium,1
Premium,1.01
Good,1.01
Ideal,1.26
Good,1.01
Premium,1.02
Premium,1.2
Ideal,1.02
Very Good,1.04
Very Good,1.22
Premium,1.3
Ideal,1.3
Premium,1.01
Ideal,1.19
Good,1.01
Premium,1.01
Premium,1.01
Premium,1.01
Very Good,1.01
Premium,1.01
Very Good,1.17
Ideal,1.31
Premium,1.37
Ideal,1.31
Ideal,0.81
Ideal,1.37
Very Good,1
Ideal,1.01
Ideal,1.02
Fair,1.5
Premium,1.35
Ideal,1.04
Very Good,1.04
Ideal,1.02
Premium,1.51
Premium,1.51
Ideal,1.37
Ideal,1.22
Good,1.2
Premium,1.03
Ideal,1.1
Premium,2
Good,1.2
Ideal,1.01
Ideal,1.01
Fair,2.02
Fair,2.02
Ideal,1.14
Ideal,1.21
Ideal,1
Ideal,1
Good,1
Premium,1.26
Premium,1.26
Very Good,1.2
Premium,1.62
Ideal,1.4
Ideal,1.05
Ideal,1.26
Premium,1.22
Good,1
Very Good,1.1
Very Good,1
Premium,1
Premium,1
Ideal,1.02
Ideal,1.25
Premium,1.06
Fair,1.01
Premium,1.01
Very Good,1.01
Premium,1.01
Ideal,1.01
Very Good,1.01
Very Good,1.24
Premium,1.22
Premium,1.22
Premium,1.22
Premium,1.07
Very Good,1.07
Ideal,1.07
Very Good,1.07
Very Good,1.07
Ideal,1.02
Premium,1.29
Premium,2.15
Premium,1
Ideal,0.92
Good,1.04
Premium,1.04
Very Good,1.04
Good,1.53
Ideal,1.26
Premium,1.19
Ideal,1.06
Good,1.5
Very Good,1.02
Ideal,1.39
Fair,1.01
Premium,1.16
Fair,1.01
Premium,1.52
Very Good,1.01
Good,1.53
Premium,1.31
Ideal,1.04
Ideal,1.04
Ideal,1.17
Very Good,1.1
Very Good,1.38
Good,1
Premium,1.01
Very Good,1.01
Ideal,1.25
Ideal,1.22
Ideal,1.29
Very Good,1.05
Very Good,1.2
Fair,1.54
Very Good,1
Fair,2.03
Premium,2.03
Ideal,1
Ideal,1.66
Premium,1.24
Ideal,1
Premium,1
Ideal,1.18
Premium,1.13
Ideal,1.2
Ideal,1.24
Fair,1.14
Very Good,1
Premium,1.24
Ideal,1.27
Ideal,1.51
Very Good,1
Premium,1.46
Premium,1.22
Premium,1.1
Ideal,1.1
Very Good,1.22
Very Good,1.09
Ideal,1.22
Very Good,1
Ideal,1.23
Good,1
Good,1
Premium,1.33
Fair,1.01
Ideal,1.13
Ideal,1.02
Premium,1.51
Good,1.51
Ideal,1.35
Ideal,1.27
Very Good,1.02
Good,1.36
Ideal,1.7
Premium,1.2
Fair,1
Premium,1.02
Fair,1.21
Good,1.02
Premium,1.02
Ideal,1.22
Ideal,1.22
Very Good,1.01
Good,1.01
Good,1.01
Very Good,1.01
Very Good,1.01
Very Good,1.25
Ideal,1.06
Ideal,0.84
Premium,1.06
Premium,1
Premium,1.35
Ideal,1.22
Ideal,1.37
Premium,1.57
Ideal,1.27
Premium,1.47
Ideal,1.05
Ideal,1.27
Premium,1.22
Ideal,1.23
Very Good,1.04
Ideal,1.17
Premium,1.3
Premium,1.33
Very Good,1.01
Very Good,1.01
Ideal,1.23
Premium,1.3
Good,1.01
Very Good,1.22
Ideal,1.32
Ideal,1.02
Ideal,1.08
Premium,0.3
Premium,0.3
Premium,0.3
Ideal,0.3
Premium,0.3
Premium,0.3
Premium,0.3
Premium,0.3
Very Good,0.3
Ideal,0.3
Ideal,0.3
Premium,0.3
Premium,0.3
Premium,0.3
Premium,0.3
Premium,0.3
Premium,0.3
Very Good,0.3
Premium,0.3
Good,0.3
Very Good,0.3
Premium,0.3
Premium,0.3
Ideal,0.3
Premium,0.3
Premium,0.3
Very Good,0.3
Premium,0.3
Premium,0.3
Premium,0.3
Ideal,1.06
Good,1.01
Premium,1.01
Ideal,1.28
Ideal,1.02
Premium,1.08
Very Good,1.08
Premium,1.27
Premium,1.02
Ideal,1.01
Premium,1.01
Good,1.01
Very Good,1.01
Premium,1.01
Premium,1.01
Ideal,1.01
Premium,1.2
Premium,1.2
Premium,1.2
Ideal,1.02
Premium,1.02
Ideal,1.02
Ideal,1.02
Ideal,1.21
Very Good,1.22
Ideal,1.25
Ideal,1.09
Ideal,1.17
Very Good,1.22
Good,1.5
Very Good,1.2
Very Good,1.04
Ideal,1
Ideal,1.29
Fair,1.49
Premium,1.01
Ideal,1.08
Ideal,1.06
Premium,1.29
Good,1.01
Ideal,1.27
Ideal,1.32
Premium,1.32
Very Good,1.02
Very Good,1
Premium,1.26
Ideal,1.23
Very Good,1.14
Premium,1.2
Premium,1.69
Good,1
Very Good,1.24
Premium,1.31
Very Good,1.01
Ideal,1.01
Ideal,1.01
Ideal,1.01
Ideal,1.23
Very Good,1
Ideal,1.18
Good,1.25
Premium,1.21
Very Good,1.07
Ideal,1.58
Premium,1.01
Premium,0.9
Premium,1.01
Very Good,1.33
Ideal,1.3
Premium,1.3
Very Good,1.27
Ideal,1.36
Good,1.3
Premium,1.5
Ideal,0.91
Good,1
Premium,1.11
Good,1.01
Premium,1.01
Very Good,1.02
Premium,1.14
Premium,1.22
Very Good,1.01
Very Good,1
Premium,1.22
Ideal,1.01
Ideal,1.33
Ideal,1.23
Good,1.01
Ideal,1.2
Premium,1
Ideal,1.3
Premium,1.28
Premium,1.2
Ideal,1.28
Premium,1
Premium,1.2
Very Good,1.09
Ideal,1.09
Good,1.31
Fair,1.45
Ideal,1.22
Very Good,1.23
Ideal,1.04
Premium,1.04
Ideal,1.04
Ideal,1.28
Premium,1.36
Premium,1.55
Premium,1.5
Ideal,1.12
Very Good,1.23
Very Good,1.23
Ideal,1.22
Ideal,1.07
Ideal,1.03
Premium,1.03
Good,1.02
Premium,1
Very Good,1.34
Premium,1.34
Very Good,1.14
Good,1
Ideal,1
Ideal,1
Very Good,0.9
Ideal,1.03
Very Good,1
Very Good,1
Good,1.2
Premium,1
Premium,1
Ideal,1.25
Premium,1.1
Premium,1
Ideal,1.22
Ideal,1.22
Premium,1.01
Ideal,1.31
Ideal,1.1
Premium,1.01
Ideal,1.07
Premium,1.07
Ideal,1.07
Premium,1.07
Premium,1.07
Ideal,1.2
Ideal,1.27
Ideal,1.29
Good,1.7
Ideal,1.26
Good,1.06
Ideal,1.53
Ideal,1.26
Ideal,1.21
Very Good,1.02
Ideal,1.02
Very Good,1.02
Premium,1.02
Good,1.02
Ideal,1.02
Ideal,1.07
Premium,1.03
Very Good,1.01
Ideal,1.09
Ideal,1.33
Premium,1.33
Very Good,1.33
Very Good,1.06
Ideal,1.31
Premium,1.03
Ideal,1.2
Ideal,1.05
Ideal,1.05
Very Good,1.05
Very Good,1.03
Ideal,1.2
Premium,1.01
Very Good,1.01
Ideal,0.94
Ideal,1.24
Premium,1.22
Ideal,1.15
Premium,1.15
Premium,1.2
Very Good,1.38
Premium,1.51
Ideal,1.18
Premium,1.37
Very Good,1.1
Very Good,1.01
Premium,1.01
Premium,1.01
Good,1.01
Premium,1.01
Good,1.01
Premium,1.01
Premium,1.01
Ideal,1.01
Ideal,1.02
Premium,1.2
Very Good,1.14
Ideal,1.01
Very Good,1.01
Ideal,1.2
Ideal,1.35
Fair,2.07
Ideal,1.24
Premium,1.12
Ideal,1.01
Good,1.08
Premium,1.09
Premium,1.22
Ideal,1.01
Premium,1.09
Premium,1.02
Premium,1.21
Premium,1.32
Premium,1.21
Premium,1.21
Ideal,1.29
Good,1.01
Good,1.01
Ideal,1.29
Ideal,1.02
Ideal,1.23
Premium,1.51
Ideal,1.51
Good,1.51
Ideal,1.2
Ideal,1.01
Ideal,1.11
Premium,1.53
Very Good,3
Very Good,1.33
Ideal,0.92
Very Good,1.01
Very Good,1.01
Premium,1.01
Ideal,1.01
Very Good,1.01
Good,1.01
Ideal,1.15
Very Good,1
Ideal,1.2
Ideal,1.22
Premium,1.32
Premium,1
Good,2
Very Good,1.01
Very Good,1.01
Very Good,1.01
Good,1.01
Good,1.5
Very Good,1.07
Ideal,1.13
Very Good,1.19
Very Good,1.2
Very Good,1.2
Premium,1.11
Ideal,1.04
Premium,1.01
Very Good,1.01
Very Good,1.01
Good,1.01
Premium,1.31
Ideal,1.08
Fair,1.15
Very Good,1.22
Very Good,1.22
Ideal,1.09
Premium,1.08
Premium,1.08
Ideal,1.08
Premium,1.08
Premium,1.27
Premium,1.08
Fair,2
Premium,1.08
Very Good,1.01
Premium,1.01
Premium,1.01
Premium,1.01
Premium,1.01
Ideal,1.01
Premium,1.01
Very Good,1.01
Ideal,1.1
Premium,1.1
Very Good,1.2
Premium,1.11
Premium,2.21
Ideal,1
Ideal,1.1
Very Good,1.29
Very Good,1.03
Very Good,1.03
Ideal,1.08
Ideal,1.08
Very Good,1.01
Premium,0.3
Very Good,0.3
Premium,0.3
Premium,0.3
Premium,0.3
Premium,0.3
Premium,0.3
Very Good,0.3
Good,0.3
Premium,0.3
Ideal,0.32
Premium,0.33
Ideal,0.33
Premium,0.33
Very Good,0.33
Ideal,0.33
Very Good,0.33
Premium,0.33
Very Good,0.33
Ideal,0.33
Premium,0.33
Ideal,0.33
Very Good,0.33
Very Good,0.33
Very Good,0.33
Ideal,0.28
Very Good,0.28
Very Good,0.33
Very Good,0.29
Very Good,0.29
Ideal,1.18
Premium,1.32
Very Good,1.04
Ideal,1.22
Ideal,1.04
Very Good,1.23
Premium,1.32
Premium,1.18
Good,1.03
Ideal,1.03
Ideal,1.27
Ideal,1.27
Ideal,1.39
Premium,1.52
Very Good,1.05
Premium,1.25
Good,1.23
Very Good,1.09
Very Good,1.51
Very Good,1.26
Ideal,1.43
Premium,1.2
Ideal,1.06
Ideal,1.28
Ideal,0.63
Very Good,1.21
Ideal,1.3
Very Good,1.01
Fair,1.5
Good,1
Premium,1
Good,1.5
Very Good,1
Premium,1.52
Premium,1.15
Ideal,1.23
Ideal,1.03
Very Good,1.2
Ideal,1.17
Ideal,1.03
Ideal,1.07
Very Good,1.27
Good,1.21
Ideal,1.22
Ideal,1.3
Ideal,1.03
Ideal,1.08
Ideal,1.07
Premium,1.13
Ideal,1.05
Ideal,1.08
Premium,1.24
Very Good,1.01
Ideal,1.13
Ideal,1.02
Very Good,1.11
Good,1.01
Premium,1.04
Very Good,1.23
Fair,2.22
Premium,1.33
Ideal,1.06
Very Good,1.21
Very Good,1.26
Very Good,1.28
Premium,1.21
Premium,1.21
Good,1
Very Good,1.02
Very Good,1.2
Ideal,1.2
Ideal,1.2
Very Good,1.09
Very Good,1.35
Premium,1.21
Ideal,1.21
Ideal,1.31
Very Good,1.01
Premium,1.23
Premium,1.35
Ideal,1.2
Very Good,1.43
Ideal,1.01
Premium,1.11
Premium,1.28
Premium,1.28
Ideal,1.25
Very Good,1.02
Premium,1.02
Very Good,1.2
Ideal,1
Ideal,1.2
Premium,1.34
Very Good,1.02
Premium,1.06
Premium,1.28
Premium,1.34
Ideal,1.2
Ideal,1.08
Premium,1.2
Ideal,1.1
Ideal,1.05
Very Good,1.05
Premium,1.01
Ideal,1.01
Ideal,1.07
Premium,1.29
Premium,1.29
Ideal,1.2
Premium,1.2
Ideal,1.29
Ideal,1.04
Premium,1.04
Premium,1.11
Ideal,1.02
Premium,1.09
Very Good,2.01
Very Good,1.11
Very Good,1.11
Premium,1.28
Very Good,1.06
Fair,1.51
Very Good,1.36
Very Good,1.02
Fair,2.1
Fair,2.1
Ideal,1.26
Ideal,1.26
Very Good,1.02
Ideal,1.02
Very Good,1.53
Premium,1.02
Very Good,1.01
Ideal,1
Premium,1
Very Good,1
Premium,1
Premium,1
Very Good,1
Premium,1
Very Good,1
Premium,1.31
Very Good,1.2
Ideal,1.31
Very Good,1.33
Ideal,1.05
Ideal,1.05
Premium,1.2
Ideal,1.26
Ideal,1.05
Good,1.04
Premium,1
Premium,1.01
Good,1.01
Premium,1.01
Premium,1.01
Premium,1.01
Premium,1.21
Very Good,1.22
Ideal,1
Ideal,0.63
Ideal,1.25
Premium,1.22
Premium,1
Premium,1
Very Good,1.37
Very Good,1.07
Ideal,1.03
Premium,1.27
Ideal,1
Very Good,1.02
Good,1.01
Very Good,1.01
Very Good,1.01
Ideal,1.02
Good,1.01
Ideal,1.02
Premium,1.33
Ideal,1.1
Ideal,1.31
Ideal,1.04
Ideal,1.09
Ideal,1.23
Premium,1.01
Very Good,1.01
Premium,1.01
Premium,1.01
Ideal,1.01
Good,1.01
Ideal,1.01
Premium,1.01
Premium,1.01
Premium,1.01
Ideal,1.01
Very Good,1
Ideal,1.2
Ideal,1.04
Premium,1.14
Ideal,1.06
Ideal,1.21
Premium,1.22
Ideal,1.1
Very Good,1.01
Very Good,1.02
Premium,1.08
Very Good,1.08
Very Good,1.24
Good,1.01
Premium,1.02
Premium,1.36
Premium,1.2
Very Good,1.06
Premium,1.03
Very Good,1.03
Very Good,1.39
Ideal,1.14
Ideal,1.04
Ideal,1.21
Premium,1.57
Very Good,1.51
Very Good,1.01
Ideal,1.1
Fair,1.91
Very Good,1.02
Very Good,1.01
Ideal,1.04
Ideal,1.4
Ideal,1.27
Premium,1.55
Ideal,1.69
Ideal,1.2
Ideal,1.03
Ideal,1.24
Ideal,1.2
Premium,1.52
Premium,1.54
Premium,1.21
Premium,1
Premium,1
Very Good,1
Ideal,1.09
Ideal,1.13
Premium,1.07
Premium,1.07
Ideal,1.03
Premium,1.38
Ideal,1.02
Ideal,1.02
Ideal,1.07
Very Good,1.01
Good,1.09
Fair,1.01
Ideal,1.12
Very Good,1.2
Premium,1.02
Ideal,0.91
Very Good,1.21
Fair,2.25
Premium,1.1
Premium,1.32
Good,1.2
Good,1.04
Premium,1.1
Premium,1.2
Ideal,1.1
Ideal,1.1
Ideal,1.22
Very Good,1.27
Very Good,1.22
Premium,1.26
Very Good,1.02
Ideal,1.03
Premium,1.03
Fair,1.53
Ideal,1.21
Premium,1.21
Ideal,1.06
Premium,1.32
Ideal,1.25
Premium,1.22
Ideal,1.18
Very Good,1.03
Very Good,1.56
Very Good,1.56
Ideal,1.19
Good,1.03
Ideal,1.03
Very Good,1.06
Very Good,1.06
Ideal,1.01
Premium,1.25
Premium,1.26
Ideal,1
Very Good,1.23
Premium,1.2
Very Good,1.01
Very Good,1.01
Very Good,1.01
Good,1.01
Good,1.01
Ideal,0.32
Ideal,0.29
Ideal,0.25
Ideal,0.31
Ideal,0.31
Ideal,0.31
Ideal,0.31
Ideal,0.31
Ideal,0.31
Ideal,0.31
Ideal,0.31
Premium,0.36
Very Good,0.3
Good,0.32
Very Good,0.3
Ideal,0.32
Good,0.32
Premium,0.32
Very Good,0.3
Good,0.3
Premium,0.32
Ideal,0.3
Very Good,0.3
Ideal,0.32
Very Good,0.3
Premium,0.3
Very Good,0.32
Good,0.3
Good,0.32
Very Good,0.3
Very Good,0.31
Ideal,0.31
Ideal,0.31
Ideal,0.31
Ideal,0.39
Ideal,0.3
Ideal,0.3
Ideal,0.3
Very Good,0.3
Very Good,0.31
Ideal,0.3
Ideal,0.32
Ideal,0.33
Ideal,0.33
Ideal,0.38
Premium,0.33
Ideal,0.33
Very Good,0.3
Good,0.3
Premium,0.3
Very Good,0.23
Very Good,0.4
Very Good,0.4
Good,0.41
Premium,0.41
Good,0.41
Good,0.41
Good,0.41
Premium,0.41
Very Good,0.28
Premium,1.01
Very Good,1.01
Ideal,1.2
Premium,1.2
Very Good,1.2
Ideal,1.06
Premium,1.33
Premium,1.06
Very Good,1.01
Very Good,1.04
Premium,1.01
Ideal,1.25
Premium,1.01
Premium,1.01
Ideal,1.13
Very Good,1.45
Ideal,1.01
Ideal,1.01
Very Good,1.2
Very Good,1.21
Premium,1.06
Premium,1.01
Ideal,1.13
Ideal,0.8
Ideal,1.2
Ideal,1.31
Very Good,1.4
Ideal,1.18
Very Good,1.01
Ideal,0.9
Premium,1.51
Good,1.14
Ideal,1.23
Ideal,1.13
Ideal,1.02
Premium,1.12
Ideal,1.12
Premium,1.02
Premium,1.02
Ideal,1.02
Very Good,1.21
Ideal,1.07
Premium,1.33
Premium,1.24
Very Good,1.31
Good,2.01
Good,1.5
Ideal,0.9
Premium,1.08
Ideal,1.21
Ideal,1.21
Ideal,1.04
Premium,1
Very Good,1.04
Very Good,1.02
Premium,1.39
Premium,1.22
Premium,1.01
Ideal,1.06
Very Good,1
Very Good,1
Premium,1.28
Ideal,1.28
Very Good,1.57
Premium,1
Premium,1.01
Premium,1.01
Very Good,1.2
Good,1.05
Very Good,1.22
Ideal,1.02
